#! FIELDS Id Weight Mean_0 Mean_1 Mean_2 Cov_00 Cov_01 Cov_02 Cov_11 Cov_12 Cov_22 Beta
     0  1.2514042000e-03      4.5205858     9.8829954    -1.3641582  1.9942491569e-02 7.6657673900e-03 -2.1507734830e-03 3.9044663477e-02 -3.4518343410e-03 4.0185982750e-03  0
     1  8.6931490000e-04      3.9125687     6.1944230     1.9267988  7.8103714040e-03 -1.7407091820e-03 -2.6729164290e-03 3.1364491780e-03 9.0755219300e-04 4.6309988610e-03  0
     2  1.1044113000e-03      5.7745408    11.2566959    -1.0793909  4.7628547096e-02 -5.3147963700e-04 -1.4816364152e-02 5.6079738780e-03 -1.3065098180e-03 9.1907089030e-03  0
     3  1.1874840000e-03      4.7932352     5.9675099    -1.1056577  6.5268569430e-03 2.4903492290e-03 2.4971550410e-03 1.0952734767e-02 -1.3818274830e-03 9.0832062970e-03  0
     4  2.2682548000e-03      4.3425570     9.9792033     0.0941544  3.2274493030e-02 2.8273929730e-03 1.5767317922e-02 7.6901771340e-03 6.2925874260e-03 4.3825071461e-02  0
     5  7.9423940000e-04      5.7848264    11.2860809    -1.7328507  1.1566865645e-02 -5.7277690700e-04 4.6124773130e-03 3.3080287160e-03 2.7652530620e-03 3.3558615050e-02  0
     6  6.5042190000e-04      6.3187571     8.1455591    -2.3235350  5.5131664740e-03 -2.7250607750e-03 -7.5919310730e-03 6.5924646230e-03 4.9435084890e-03 2.3668484236e-02  0
     7  8.6518090000e-04      4.1745984     6.1541915     0.5371590  3.8952324470e-03 2.0899833950e-03 -4.2027913000e-04 7.9050928590e-03 -1.2671413390e-03 3.5924763260e-03  0
     8  9.8155690000e-04      5.1729031     6.7934938    -2.5064766  5.9602518780e-03 -2.2963534080e-03 -6.6404914200e-04 1.0161769542e-02 -3.0999345850e-03 6.4920729980e-03  0
     9  6.0953650000e-04      3.6107740     5.2492405     0.8998604  1.0778525742e-02 -4.2949036220e-03 -2.3858677400e-04 5.6941576250e-03 8.2403420000e-04 4.5073210370e-03  0
    10  2.7445340000e-04      4.0948086     5.0383971     1.2334426  7.8200719570e-03 3.3874339700e-04 2.6447194010e-03 2.7358359350e-03 4.3314668500e-04 5.7178122090e-03  0
    11  2.9196810000e-04      4.4353404     8.2255283    -1.2528552  3.7804636400e-03 -8.3369523100e-04 -4.2858806000e-05 4.4066580440e-03 2.8580541820e-03 1.0611202409e-02  0
    12  1.0802016000e-03      3.4305690    12.1188120     0.1806920  1.9410803122e-02 -1.4685424697e-02 1.3250706221e-02 2.4980605395e-02 -9.1040976590e-03 2.6299316931e-02  0
